"type","language","filename","graph","reordering","NES","NWES","time","bandwidth","profile","span","avgwavefront","RMSwavefront","reachtime","peaknodes"
statistics,"PNML","spec/PNML/2D8_gradient_20x20_10.pnml","bipartite","vgps","0.04149629","0.04379939","0.330","179","342867","462490","70.406064","80.003812","27.580","26290"
performance,"PNML","spec/PNML/philo_dyn-3-unfolded.pnml","total","vcm",,,"0.010",,,,,,"0.030","520"
performance,"PNML","spec/PNML/lamport_fmea-3.pnml","bipartite","Noack2",,,"0.000",,,,,,"1.910","7402"
statistics,"PNML","spec/PNML/Philosophers-1000.pnml","bipartite","bs","0.00171908","0.0017227624","6.250","26","98454","123939","5.0986","5.1854412","44.260","39288"
performance,"PNML","spec/PNML/RAS-R-15.pnml","bipartite","vcm",,,"0.000",,,,,,"0.030","405"
performance,"PNML","spec/PNML/SmallOperatingSystem-MT0128DC0032.pnml","bipartite","f",,,"0.000",,,,,,"0.000","9"
performance,"PNML","spec/PNML/rwmutex-r10w50.pnml","total","bs",,,"0.050",,,,,,"0.220","2614"
statistics,"PNML","spec/PNML/philo_dyn-3-unfolded.pnml","bipartite","vgps","0.5405","0.8929","0.000","55","4545","5434","32.649","35.827","0.030","706"
statistics,"PNML","spec/PNML/parking_1_4.pnml","total","bcm","0.2828","0.4149","0.010","129","39312","55453","53.5668","61.3614","0.580","20431"
statistics,"PNML","spec/PNML/closed_system3.pnml","bipartite","bs","0.087394","0.11094","0.010","178","12010","14180","12.8453","14.3435","4.460","16536"
statistics,"PNML","spec/PNML/philo_dyn-3-unfolded.pnml","bipartite","bk","0.5087","0.7471","0.000","55","4583","5334","22.772","25.533","0.050","713"
performance,"PNML","spec/PNML/CircularTrain-024.pnml","total","vgps",,,"0.000",,,,,,"0.050","1633"
performance,"PNML","spec/PNML/philo_dyn-3-unfolded.pnml","bipartite","vcm",,,"0.000",,,,,,"0.030","702"
performance,"PNML","spec/PNML/Philosophers-10.pnml","bipartite","vgps",,,"0.000",,,,,,"0.000","294"
statistics,"PNML","spec/PNML/rwmutex-r10w1000.pnml","total","vacm","0.5019363","1.002823","155.060","18036","284057014","353574014","8694.47175","10023.6319","863.720","1030067"
performance,"PNML","spec/PNML/soli0_square5.pnml","total","vgps",,,"0.010",,,,,,"32.510","178275"
statistics,"PNML","spec/PNML/FMS-5.pnml","bipartite","bs","0.164","0.193","0.000","11","190","245","3.286","3.374","0.020","437"
performance,"PNML","spec/PNML/BridgeAndVehicles-V10-P10-N10-unfolded.pnml","bipartite","Noack1",,,"0.000",,,,,,"9.140","82144"
performance,"PNML","spec/PNML/angiogenesis-01.pnml","total","vgps",,,"0.000",,,,,,"0.010","374"
performance,"PNML","spec/PNML/eratosthenes-500.pnml","none","none",,,0,,,,,,"4.840",
performance,"PNML","spec/PNML/HouseConstruction-005.pnml","total","bs",,,"0.000",,,,,,"0.100","3176"
statistics,"PNML","spec/PNML/CircularTrain-192.pnml","total","vcm","0.024631","0.025382","0.050","18","20849","35029","14.81101","14.90266","656.090","546313"
